,city,quarter,composite,onebhk,twobhk,threebhk,%change_onebhk,%change_twobhk,%change_threebhk,latitude,longitude
0,Ahmedabad,2013-06-01,3212,2883,3161,3969,,,,23.0215374,72.5800568
1,Ahmedabad,2013-09-01,3210,2945,3133,3917,,,,23.0215374,72.5800568
2,Ahmedabad,2013-12-01,3156,2939,3030,3906,,,,23.0215374,72.5800568
3,Ahmedabad,2014-03-01,3119,2920,2972,3887,,,,23.0215374,72.5800568
4,Ahmedabad,2014-06-01,3138,2997,2947,3918,3.904,-7.201,-1.312,23.0215374,72.5800568
5,Ahmedabad,2014-09-01,3100,2953,2898,3923,0.267,-7.974,0.153,23.0215374,72.5800568
6,Ahmedabad,2014-12-01,3128,2899,2973,3976,-1.355,-1.967,1.784,23.0215374,72.5800568
7,Ahmedabad,2015-03-01,3141,2847,3013,4037,-2.518,1.379,3.773,23.0215374,72.5800568
8,Ahmedabad,2015-06-01,3141,2814,3037,4039,-6.428,2.987,2.997,23.0215374,72.5800568
9,Ahmedabad,2015-09-01,3165,2835,3059,4069,-4.193,5.301,3.615,23.0215374,72.5800568
10,Ahmedabad,2015-12-01,3172,2911,3026,4060,0.423,1.733,2.064,23.0215374,72.5800568
11,Ahmedabad,2016-03-01,3149,2901,2987,4056,1.855,-0.859,0.468,23.0215374,72.5800568
12,Ahmedabad,2016-06-01,3175,2975,2973,4095,5.55,-2.143,1.381,23.0215374,72.5800568
13,Ahmedabad,2016-09-01,3198,2983,2997,4148,4.975,-2.085,1.929,23.0215374,72.5800568
14,Ahmedabad,2016-12-01,3212,2980,3018,4171,2.313,-0.267,2.676,23.0215374,72.5800568
15,Ahmedabad,2017-03-01,3260,3019,3078,4207,3.96,3.015,3.62,23.0215374,72.5800568
16,Ahmedabad,2017-06-01,3256,2976,3134,4115,0.033,5.231,0.475,23.0215374,72.5800568
17,Ahmedabad,2017-09-01,3306,3082,3177,4075,3.327,5.743,-1.774,23.0215374,72.5800568
18,Ahmedabad,2017-12-01,3418,3259,3239,4200,9.053,6.956,0.712,23.0215374,72.5800568
19,Ahmedabad,2018-03-01,3515,3395,3301,4315,11.537,6.885,2.571,23.0215374,72.5800568
20,Ahmedabad,2018-06-01,3698,3628,3426,4564,19.205,8.846,10.406,23.0215374,72.5800568
21,Ahmedabad,2018-09-01,3876,3818,3591,4757,20.287,12.084,14.943,23.0215374,72.5800568
22,Ahmedabad,2018-12-01,4009,3969,3742,4810,18.596,14.007,12.823,23.0215374,72.5800568
23,Ahmedabad,2019-03-01,4115,4071,3854,4905,17.032,14.778,12.266,23.0215374,72.5800568
24,Ahmedabad,2019-06-01,4258,4247,3990,5007,15.205,14.634,9.032,23.0215374,72.5800568
25,Ahmedabad,2019-09-01,4445,4430,4173,5209,14.41,14.586,9.027,23.0215374,72.5800568
26,Ahmedabad,2019-12-01,4663,4580,4404,5518,13.792,15.864,13.592,23.0215374,72.5800568
27,Ahmedabad,2020-03-01,4817,4773,4563,5585,15.328,16.099,12.323,23.0215374,72.5800568
28,Ahmedabad,2020-06-01,4955,4874,4743,5680,13.136,16.502,12.05,23.0215374,72.5800568
29,Ahmedabad,2020-09-01,5008,4902,4847,5643,9.684,14.21,7.641,23.0215374,72.5800568
30,Ahmedabad,2020-12-01,5157,4974,5051,5789,8.038,13.348,4.802,23.0215374,72.5800568
31,Ahmedabad,2021-03-01,5353,5036,5327,6017,5.287,15.126,7.462,23.0215374,72.5800568
32,Ahmedabad,2021-06-01,5484,5083,5477,6255,4.15,13.779,9.556,23.0215374,72.5800568
